using ndc
-0.0770857 -0.239547 0.630061
-0.0814035 -0.240347 0.629102
-0.0860064 -0.241435 0.628683
-0.0783294 -0.239013 0.632975
-0.0827534 -0.239686 0.631979
-0.0871914 -0.240639 0.631754
-0.0691225 -0.239146 0.635489
-0.0731427 -0.239118 0.632046
-0.0705043 -0.238831 0.638782
-0.0743497 -0.238692 0.6351
-0.0470991 -0.264823 0.719334
-0.0473426 -0.262303 0.714
-0.0474338 -0.259321 0.706516
-0.049526 -0.264668 0.723171
-0.0492249 -0.261859 0.716274
-0.0491813 -0.259104 0.709224
-0.0478077 -0.267774 0.725023
-0.0603105 -0.241001 0.647887
-0.0648148 -0.239735 0.640763
-0.0622986 -0.240871 0.651595
-0.0664419 -0.239528 0.644288
-0.0529384 -0.245683 0.666833
-0.0562848 -0.242995 0.656755
-0.0552253 -0.245567 0.670589
-0.0584947 -0.242888 0.66054
-0.0510317 -0.272867 0.738166
-0.049886 -0.276026 0.73911
-0.0490042 -0.279499 0.739655
-0.0483949 -0.272091 0.731617
-0.0472714 -0.275592 0.732906
-0.0464878 -0.279374 0.733832
-0.0555905 -0.291488 0.753854
-0.0542735 -0.288945 0.752181
-0.0535761 -0.286296 0.751239
-0.0566327 -0.288767 0.757663
-0.0555786 -0.286276 0.755566
-0.0573082 -0.286267 0.759475
-0.0573053 -0.300601 0.748012
-0.0568341 -0.29877 0.749313
-0.0563004 -0.296704 0.750572
-0.0586553 -0.300515 0.7519
-0.0583408 -0.298595 0.753672
-0.0580075 -0.296518 0.755344
-0.0600631 -0.300714 0.756081
-0.0597728 -0.29881 0.757903
-0.0596366 -0.296718 0.760118
-0.055826 -0.294408 0.751916
-0.0528235 -0.292542 0.746583
-0.0535453 -0.295086 0.745722
-0.0541598 -0.297396 0.74447
-0.0504024 -0.293192 0.740526
-0.050998 -0.295616 0.739311
-0.0513753 -0.298243 0.736604
-0.0550672 -0.299482 0.743939
-0.0559496 -0.30123 0.743647
-0.0531122 -0.300595 0.737595
-0.0545272 -0.30224 0.73867
-0.0559135 -0.303177 0.740605
-0.0574106 -0.302213 0.745919
-0.0573153 -0.303765 0.743229
-0.104422 -0.284168 0.641824
-0.104515 -0.277433 0.625062
-0.104337 -0.270023 0.611278
-0.102119 -0.284022 0.641499
-0.102164 -0.27733 0.624816
-0.101981 -0.27002 0.611233
-0.0996839 -0.283792 0.640501
-0.0996522 -0.277198 0.62402
-0.0993655 -0.270148 0.610768
-0.103864 -0.26317 0.603953
-0.103276 -0.257544 0.602619
-0.101354 -0.263279 0.604129
-0.100281 -0.257732 0.602931
-0.0986134 -0.263676 0.603877
-0.0973324 -0.258328 0.602777
-0.103079 -0.304019 0.70986
-0.103462 -0.29998 0.694089
-0.103822 -0.295298 0.677195
-0.100456 -0.303634 0.705718
-0.101111 -0.299857 0.693061
-0.101542 -0.295227 0.676833
-0.0973905 -0.303358 0.70012
-0.0987135 -0.299257 0.688255
-0.0993721 -0.294857 0.674585
-0.10416 -0.290075 0.659576
-0.101882 -0.289948 0.659211
-0.0996517 -0.289756 0.658226
-0.0702658 -0.315748 0.732799
-0.0683348 -0.31563 0.735012
-0.0666004 -0.315178 0.737574
-0.0717298 -0.31577 0.739952
-0.0699006 -0.315523 0.741995
-0.0682593 -0.314974 0.744377
-0.0732303 -0.315771 0.747569
-0.0714618 -0.315389 0.749317
-0.0698668 -0.314749 0.751361
-0.0638128 -0.313155 0.742574
-0.0650664 -0.314325 0.740179
-0.0617862 -0.313414 0.735652
-0.0632195 -0.314542 0.733205
-0.0649618 -0.315321 0.730568
-0.0597325 -0.313641 0.728307
-0.0614135 -0.314692 0.725975
-0.0633861 -0.315377 0.723444
-0.0749204 -0.315449 0.7303
-0.0724201 -0.315647 0.731208
-0.0761289 -0.315752 0.738017
-0.0737574 -0.315805 0.73859
-0.0773884 -0.316026 0.746102
-0.0751547 -0.315946 0.746455
-0.066896 -0.315674 0.727966
-0.0690215 -0.315671 0.725599
-0.0654677 -0.315631 0.720844
-0.0676692 -0.31552 0.718202
-0.0949728 -0.313085 0.737996
-0.0910474 -0.313808 0.734827
-0.0873407 -0.314452 0.732416
-0.0951958 -0.314278 0.743979
-0.0915782 -0.314818 0.743949
-0.0880191 -0.315352 0.741534
-0.0955308 -0.315423 0.750055
-0.0920557 -0.315775 0.750522
-0.088819 -0.316024 0.75076
-0.0809235 -0.315072 0.730386
-0.0840291 -0.314845 0.731058
-0.080284 -0.314176 0.720742
-0.0836071 -0.313778 0.72156
-0.0870414 -0.313256 0.723161
-0.0795211 -0.312873 0.708692
-0.0833225 -0.312424 0.711566
-0.0867605 -0.311885 0.713908
-0.0907331 -0.3125 0.725776
